text,label,score,timestamp,speaker
"No the, six is the L G E. L G E.",gender,0.8826011419296265,2.7800000000000002,1
"POC, the sta state minister of health. Then the ch uh the th six um ticker about is from the L G E.",gender,0.7168519496917725,2.7800000000000002,1
"And the L G we have P H.C. manager, a lock-up ordinator, uh the texture of the H.I.B. services, the T.B. coordinator, um uh a personal health coordinator, the R.B.M. coordinator and, I think M.I.E_.",gender,0.9624669551849365,2.7800000000000002,1
"And the L G we have P H.C. manager, a lock-up ordinator, uh the texture of the H.I.B. services, the T.B. coordinator, um uh a personal health coordinator, the R.B.M. coordinator and, I think M.I.E_.",safety,0.7684261798858643,2.7800000000000002,1
Okay.,environment,0.7113502621650696,28.68,2
"So it's that's like the L G E level support, this RITI A.S.S.T. So.",gender,0.9151685833930969,29.12,1
It's like in young training c uh technically and clinically young training the facility staff.,environment,0.9099186062812805,51.74,2
And remote connections so that the care will be improved. Um,environment,0.7827542424201965,62.739999999999995,2
Initiative.,AI,0.9416753649711609,84.86,1
Twenty twenty two. So it has to be split.,environment,0.7955164909362793,100.10000000000001,1
"Yes. Okay, so you're the what are you?",gender,0.909524142742157,125.68,2
I see I. see.,environment,0.7288060188293457,131.28,2
"No no, sir, I was not part of the initial stage uh c yeah.",environment,0.7168603539466858,181.46,2
Since twenty twenty two.,environment,0.7547869682312012,191.72,2
