timestamp,speaker,text,label
2.7800000000000002,1,"And the L G we have P H.C. manager, a lock-up ordinator, uh the texture of the H.I.B. services, the T.B. coordinator, um uh a personal health coordinator, the R.B.M. coordinator and, I think M.I.E_.","gender (0.96), safety (0.77)"
2.7800000000000002,1,"No the, six is the L G E. L G E.",gender (0.88)
2.7800000000000002,1,"POC, the sta state minister of health. Then the ch uh the th six um ticker about is from the L G E.",gender (0.72)
28.68,2,Okay.,environment (0.71)
29.12,1,"So it's that's like the L G E level support, this RITI A.S.S.T. So.",gender (0.92)
51.74,2,It's like in young training c uh technically and clinically young training the facility staff.,environment (0.91)
62.739999999999995,2,And remote connections so that the care will be improved. Um,environment (0.78)
84.86,1,Initiative.,AI (0.94)
100.10000000000001,1,Twenty twenty two. So it has to be split.,environment (0.80)
125.68,2,"Yes. Okay, so you're the what are you?",gender (0.91)
131.28,2,I see I. see.,environment (0.73)
181.46,2,"No no, sir, I was not part of the initial stage uh c yeah.",environment (0.72)
191.72,2,Since twenty twenty two.,environment (0.75)
